Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season
26.0,Carlos Boozer,28.0,UTA,PF,10.0,10.0,402.0,17.6,0.537,0.0,0.208,9.6,29.3,19.3,13.0,0.5,1.4,11.6,23.0,0.4,0.2,0.6,0.07,1.1,-1.4,-0.2,0.2,,2009-10
27.0,Deron Williams,25.0,UTA,PG,10.0,10.0,398.0,23.5,0.614,0.342,0.745,1.2,6.9,4.0,41.0,1.3,0.8,13.2,25.6,1.7,-0.1,1.6,0.192,6.4,-0.7,5.7,0.8,,2009-10
28.0,Josh Smith,24.0,ATL,PF,11.0,11.0,392.0,20.2,0.522,0.047,0.341,10.4,20.4,15.0,13.5,1.9,4.4,10.3,20.0,0.6,0.4,1.0,0.124,3.8,0.9,4.7,0.7,,2009-10
29.0,Tony Allen,28.0,BOS,SG,24.0,0.0,391.0,11.2,0.536,0.051,0.367,4.2,8.5,6.4,7.4,3.4,3.1,16.8,16.7,-0.1,0.9,0.8,0.095,-2.7,3.5,0.8,0.3,,2009-10
30.0,Al Horford,23.0,ATL,C,11.0,11.0,388.0,20.1,0.568,0.008,0.242,7.9,23.6,15.2,9.7,1.2,4.4,9.6,19.2,0.8,0.4,1.2,0.144,2.8,1.0,3.7,0.6,,2009-10
31.0,Jared Dudley,24.0,PHO,SF,16.0,0.0,377.0,15.6,0.62,0.686,0.326,4.9,14.1,9.6,10.8,2.5,1.2,8.4,13.1,0.9,0.3,1.2,0.153,2.7,2.6,5.2,0.7,,2009-10
32.0,Antawn Jamison,33.0,CLE,PF,11.0,11.0,375.0,14.5,0.542,0.285,0.299,5.3,20.2,12.9,6.7,1.0,2.1,10.4,21.5,0.2,0.5,0.7,0.091,-0.1,-0.1,-0.2,0.2,,2009-10
33.0,Tim Duncan,33.0,SAS,C,10.0,10.0,373.0,19.7,0.527,0.013,0.46,9.2,21.1,15.1,12.7,1.1,3.7,11.7,25.6,0.2,0.5,0.7,0.091,2.2,0.6,2.8,0.5,,2009-10
34.0,Wesley Matthews,23.0,UTA,SG,10.0,10.0,371.0,11.8,0.54,0.416,0.475,3.1,10.9,7.0,6.7,2.5,1.1,10.9,16.5,0.3,0.1,0.4,0.052,-1.0,0.6,-0.4,0.2,,2009-10
35.0,Manu Ginóbili,32.0,SAS,SG,10.0,10.0,352.0,21.4,0.572,0.429,0.479,1.3,10.7,6.0,28.7,3.9,0.5,15.0,26.4,0.6,0.5,1.1,0.149,4.3,2.8,7.1,0.8,,2009-10
36.0,Jamal Crawford,29.0,ATL,SG,11.0,0.0,351.0,14.0,0.499,0.325,0.377,0.3,10.7,5.1,15.7,1.4,0.3,10.0,27.0,0.2,0.1,0.3,0.04,1.7,-1.6,0.1,0.2,,2009-10
37.0,Marvin Williams,23.0,ATL,SF,11.0,11.0,345.0,12.0,0.494,0.025,0.405,7.3,15.0,10.8,3.8,1.0,1.3,5.1,13.5,0.4,0.1,0.6,0.077,0.1,-1.1,-1.1,0.1,,2009-10
38.0,George Hill,23.0,SAS,PG,10.0,8.0,344.0,12.8,0.566,0.284,0.363,1.7,8.6,5.1,3.3,1.5,0.5,6.3,17.1,0.4,0.2,0.7,0.092,-0.2,0.4,0.2,0.2,,2009-10
39.0,C.J. Miles,22.0,UTA,SF,10.0,10.0,337.0,11.9,0.585,0.434,0.368,1.7,7.1,4.4,12.7,0.9,1.4,13.4,18.8,0.4,-0.1,0.4,0.053,-0.8,-0.1,-1.0,0.1,,2009-10
40.0,Tony Parker,27.0,SAS,PG,10.0,2.0,335.0,16.7,0.502,0.019,0.273,3.1,9.9,6.5,29.8,0.9,0.0,11.3,27.1,0.2,0.2,0.3,0.047,1.5,-1.1,0.4,0.2,,2009-10
41.0,Richard Jefferson,29.0,SAS,SF,10.0,10.0,334.0,10.9,0.556,0.071,0.471,2.7,15.4,9.1,8.2,0.9,1.4,15.1,13.9,0.2,0.3,0.4,0.061,-1.1,0.7,-0.4,0.1,,2009-10
