Unnamed: 0,Team,Season,Wins,Losses,payroll,inflationAdjPayroll,revenue,Superteam
429,Atlanta Hawks,2013,38.0,44.0,,,119000000.0,0
430,New York Knicks,2013,37.0,45.0,,,287000000.0,0
431,Brooklyn Nets,2013,44.0,38.0,,,190000000.0,1
432,Denver Nuggets,2013,36.0,46.0,,,124000000.0,0
433,New Orleans Pelicans,2013,34.0,48.0,,,116000000.0,0
434,Sacramento Kings,2013,28.0,54.0,,,115000000.0,0
435,Cleveland Cavaliers,2013,33.0,49.0,,,145000000.0,0
436,Detroit Pistons,2013,29.0,53.0,,,139000000.0,0
437,Boston Celtics,2013,25.0,57.0,,,169000000.0,0
438,Orlando Magic,2013,23.0,59.0,,,139000000.0,0
439,Los Angeles Lakers,2013,27.0,55.0,77423614.0,98248706.0,295000000.0,1
440,Utah Jazz,2013,25.0,57.0,,,131000000.0,0
441,Milwaukee Bucks,2013,15.0,67.0,,,109000000.0,0
442,Philadelphia 76ers,2013,19.0,63.0,,,117000000.0,0
443,League Average,2013,,,,,,0
444,Team,2014,,,,,,0
445,Golden State Warriors,2014,67.0,15.0,,,168000000.0,0
446,Los Angeles Clippers,2014,56.0,26.0,85259447.0,105995602.0,146000000.0,0
447,San Antonio Spurs,2014,55.0,27.0,,,172000000.0,0
448,Atlanta Hawks,2014,60.0,22.0,,,133000000.0,0
449,Cleveland Cavaliers,2014,53.0,29.0,,,149000000.0,1
450,Portland Trail Blazers,2014,51.0,31.0,,,153000000.0,0
451,Houston Rockets,2014,56.0,26.0,,,175000000.0,0
452,Memphis Grizzlies,2014,55.0,27.0,,,135000000.0,0
453,Toronto Raptors,2014,49.0,33.0,,,151000000.0,0
454,Chicago Bulls,2014,50.0,32.0,,,201000000.0,0
455,Dallas Mavericks,2014,50.0,32.0,,,168000000.0,0
456,Oklahoma City Thunder,2014,45.0,37.0,,,152000000.0,0
457,New Orleans Pelicans,2014,45.0,37.0,,,131000000.0,0
458,Washington Wizards,2014,46.0,36.0,,,143000000.0,0
459,Milwaukee Bucks,2014,41.0,41.0,,,110000000.0,0
460,Indiana Pacers,2014,38.0,44.0,,,139000000.0,0
461,Utah Jazz,2014,38.0,44.0,,,142000000.0,0
462,Boston Celtics,2014,40.0,42.0,,,173000000.0,0
463,Phoenix Suns,2014,39.0,43.0,,,145000000.0,0
464,Detroit Pistons,2014,32.0,50.0,,,144000000.0,0
465,Miami Heat,2014,37.0,45.0,,,188000000.0,1
466,Brooklyn Nets,2014,38.0,44.0,,,212000000.0,1
467,Charlotte Hornets,2014,33.0,49.0,,,130000000.0,0
468,Denver Nuggets,2014,30.0,52.0,,,136000000.0,0
469,Sacramento Kings,2014,29.0,53.0,,,125000000.0,0
470,Orlando Magic,2014,25.0,57.0,,,143000000.0,0
471,Los Angeles Lakers,2014,21.0,61.0,77546500.0,96406770.0,293000000.0,0
472,Minnesota Timberwolves,2014,16.0,66.0,,,128000000.0,0
473,Philadelphia 76ers,2014,18.0,64.0,,,125000000.0,0
474,New York Knicks,2014,17.0,65.0,,,278000000.0,0
475,League Average,2014,,,,,,0
476,Team,2015,,,,,,0
477,San Antonio Spurs,2015,67.0,15.0,,,170000000.0,0
478,Golden State Warriors,2015,73.0,9.0,,,201000000.0,0
479,Oklahoma City Thunder,2015,55.0,27.0,,,157000000.0,0
480,Cleveland Cavaliers,2015,57.0,25.0,,,191000000.0,1
481,Toronto Raptors,2015,56.0,26.0,,,163000000.0,0
482,Los Angeles Clippers,2015,53.0,29.0,97019321.0,120466523.0,176000000.0,0
483,Atlanta Hawks,2015,48.0,34.0,,,142000000.0,0
484,Boston Celtics,2015,48.0,34.0,,,181000000.0,0
485,Charlotte Hornets,2015,48.0,34.0,,,142000000.0,0
486,Utah Jazz,2015,40.0,42.0,,,146000000.0,0
487,Miami Heat,2015,48.0,34.0,,,180000000.0,0
488,Indiana Pacers,2015,45.0,37.0,,,138000000.0,0
489,Portland Trail Blazers,2015,44.0,38.0,,,157000000.0,0
490,Detroit Pistons,2015,44.0,38.0,,,154000000.0,0
491,Houston Rockets,2015,41.0,41.0,,,237000000.0,0
492,Dallas Mavericks,2015,42.0,40.0,,,177000000.0,0
493,Washington Wizards,2015,41.0,41.0,,,146000000.0,0
494,Chicago Bulls,2015,42.0,40.0,,,228000000.0,0
495,Orlando Magic,2015,35.0,47.0,,,143000000.0,0
496,Sacramento Kings,2015,33.0,49.0,,,141000000.0,0
497,Memphis Grizzlies,2015,42.0,40.0,,,147000000.0,0
498,New York Knicks,2015,32.0,50.0,,,307000000.0,0
499,Denver Nuggets,2015,33.0,49.0,,,140000000.0,0
500,Minnesota Timberwolves,2015,29.0,53.0,,,146000000.0,0
501,New Orleans Pelicans,2015,30.0,52.0,,,142000000.0,0
502,Milwaukee Bucks,2015,33.0,49.0,,,126000000.0,0
503,Phoenix Suns,2015,23.0,59.0,,,154000000.0,0
504,Brooklyn Nets,2015,21.0,61.0,,,220000000.0,0
505,Los Angeles Lakers,2015,17.0,65.0,72694352.0,90262802.0,304000000.0,0
506,Philadelphia 76ers,2015,10.0,72.0,,,124000000.0,0
507,League Average,2015,,,,,,0
508,Team,2016,,,,,,0
509,Golden State Warriors,2016,67.0,15.0,,,305000000.0,1
510,San Antonio Spurs,2016,61.0,21.0,,,187000000.0,0
511,Houston Rockets,2016,55.0,27.0,,,244000000.0,0
512,Toronto Raptors,2016,51.0,31.0,,,193000000.0,0
513,Los Angeles Clippers,2016,51.0,31.0,114756766.0,141083612.0,185000000.0,0
514,Utah Jazz,2016,51.0,31.0,,,164000000.0,0
515,Cleveland Cavaliers,2016,51.0,31.0,,,233000000.0,1
516,Boston Celtics,2016,53.0,29.0,,,200000000.0,0
517,Washington Wizards,2016,49.0,33.0,,,155000000.0,0
518,Miami Heat,2016,41.0,41.0,,,210000000.0,0
519,Oklahoma City Thunder,2016,47.0,35.0,,,187000000.0,0
520,Memphis Grizzlies,2016,43.0,39.0,,,155000000.0,0
521,Denver Nuggets,2016,40.0,42.0,,,157000000.0,0
522,Chicago Bulls,2016,41.0,41.0,,,232000000.0,0
523,Charlotte Hornets,2016,36.0,46.0,,,158000000.0,0
524,Indiana Pacers,2016,42.0,40.0,,,157000000.0,0
525,Milwaukee Bucks,2016,42.0,40.0,,,146000000.0,0
526,Portland Trail Blazers,2016,41.0,41.0,,,178000000.0,0
527,Atlanta Hawks,2016,43.0,39.0,,,169000000.0,0
528,Detroit Pistons,2016,37.0,45.0,,,172000000.0,0
529,Minnesota Timberwolves,2016,31.0,51.0,,,154000000.0,0
530,New Orleans Pelicans,2016,34.0,48.0,,,156000000.0,0
531,Dallas Mavericks,2016,33.0,49.0,,,194000000.0,0
532,New York Knicks,2016,31.0,51.0,,,376000000.0,0
533,Sacramento Kings,2016,32.0,50.0,,,164000000.0,0
534,Phoenix Suns,2016,24.0,58.0,,,173000000.0,0
535,Philadelphia 76ers,2016,28.0,54.0,,,140000000.0,0
536,Brooklyn Nets,2016,20.0,62.0,,,223000000.0,0
537,Orlando Magic,2016,29.0,53.0,,,166000000.0,0
538,Los Angeles Lakers,2016,26.0,56.0,94781848.0,116526161.0,333000000.0,0
539,League Average,2016,,,,,,0
540,Team,2017,,,,,,0
541,Houston Rockets,2017,65.0,17.0,,,296000000.0,0
542,Toronto Raptors,2017,59.0,23.0,,,250000000.0,0
543,Golden State Warriors,2017,58.0,24.0,,,359000000.0,1
544,Utah Jazz,2017,48.0,34.0,,,221000000.0,0
545,Philadelphia 76ers,2017,52.0,30.0,,,184000000.0,0
546,Boston Celtics,2017,55.0,27.0,,,257000000.0,0
547,Oklahoma City Thunder,2017,48.0,34.0,,,222000000.0,1
548,San Antonio Spurs,2017,47.0,35.0,,,259000000.0,0
549,Portland Trail Blazers,2017,49.0,33.0,,,223000000.0,0
550,Minnesota Timberwolves,2017,47.0,35.0,,,204000000.0,0
551,Denver Nuggets,2017,46.0,36.0,,,202000000.0,0
552,Indiana Pacers,2017,48.0,34.0,,,205000000.0,0
553,New Orleans Pelicans,2017,48.0,34.0,,,204000000.0,0
554,Cleveland Cavaliers,2017,50.0,32.0,,,280000000.0,1
555,Washington Wizards,2017,43.0,39.0,,,222000000.0,0
556,Miami Heat,2017,44.0,38.0,,,253000000.0,0
557,Charlotte Hornets,2017,36.0,46.0,,,202000000.0,0
558,Los Angeles Clippers,2017,42.0,40.0,119093010.0,144061426.0,257000000.0,0
559,Detroit Pistons,2017,39.0,43.0,,,221000000.0,0
560,Milwaukee Bucks,2017,44.0,38.0,,,179000000.0,0
561,Los Angeles Lakers,2017,35.0,47.0,103126557.0,124747524.0,371000000.0,0
562,Dallas Mavericks,2017,24.0,58.0,,,233000000.0,0
563,New York Knicks,2017,29.0,53.0,,,426000000.0,0
564,Brooklyn Nets,2017,28.0,54.0,,,273000000.0,0
565,Orlando Magic,2017,25.0,57.0,,,211000000.0,0
566,Atlanta Hawks,2017,24.0,58.0,,,209000000.0,0
567,Memphis Grizzlies,2017,22.0,60.0,,,206000000.0,0
568,Chicago Bulls,2017,27.0,55.0,,,281000000.0,0
569,Sacramento Kings,2017,27.0,55.0,,,240000000.0,0
570,Phoenix Suns,2017,21.0,61.0,,,218000000.0,0
571,League Average,2017,,,,,,0
572,Team,2018,,,,,,0
573,Milwaukee Bucks,2018,60.0,22.0,,,204000000.0,0
574,Golden State Warriors,2018,57.0,25.0,,,401000000.0,1
575,Toronto Raptors,2018,58.0,24.0,,,275000000.0,0
576,Utah Jazz,2018,50.0,32.0,,,243000000.0,0
577,Houston Rockets,2018,53.0,29.0,,,326000000.0,0
578,Boston Celtics,2018,49.0,33.0,,,287000000.0,0
579,Portland Trail Blazers,2018,53.0,29.0,,,246000000.0,0
580,Denver Nuggets,2018,54.0,28.0,,,222000000.0,0
581,Indiana Pacers,2018,48.0,34.0,,,222000000.0,0
582,Oklahoma City Thunder,2018,49.0,33.0,,,241000000.0,1
583,Philadelphia 76ers,2018,51.0,31.0,,,268000000.0,0
584,San Antonio Spurs,2018,48.0,34.0,,,262000000.0,0
585,Los Angeles Clippers,2018,48.0,34.0,118026816.0,138786382.0,258000000.0,0
586,Orlando Magic,2018,42.0,40.0,,,223000000.0,0
587,Brooklyn Nets,2018,42.0,40.0,,,290000000.0,0
588,Detroit Pistons,2018,41.0,41.0,,,235000000.0,0
589,Miami Heat,2018,39.0,43.0,,,259000000.0,0
590,Sacramento Kings,2018,39.0,43.0,,,263000000.0,0
591,Charlotte Hornets,2018,39.0,43.0,,,213000000.0,0
592,New Orleans Pelicans,2018,33.0,49.0,,,214000000.0,0
593,Dallas Mavericks,2018,33.0,49.0,,,287000000.0,0
594,Minnesota Timberwolves,2018,36.0,46.0,,,223000000.0,0
595,Los Angeles Lakers,2018,37.0,45.0,107225482.0,126085215.0,395000000.0,0
596,Memphis Grizzlies,2018,33.0,49.0,,,213000000.0,0
597,Washington Wizards,2018,32.0,50.0,,,255000000.0,0
598,Atlanta Hawks,2018,29.0,53.0,,,215000000.0,0
599,Chicago Bulls,2018,22.0,60.0,,,287000000.0,0
600,New York Knicks,2018,17.0,65.0,,,443000000.0,0
601,Phoenix Suns,2018,19.0,63.0,,,235000000.0,0
602,Cleveland Cavaliers,2018,19.0,63.0,,,302000000.0,0
603,League Average,2018,,,,,,0
604,Team,2019,,,,,,0
605,Milwaukee Bucks,2019,56.0,17.0,,,283000000.0,0
606,Boston Celtics,2019,48.0,24.0,,,304000000.0,0
607,Los Angeles Clippers,2019,49.0,23.0,131506341.0,152128979.0,282000000.0,0
608,Toronto Raptors,2019,53.0,19.0,,,334000000.0,0
609,Los Angeles Lakers,2019,52.0,19.0,123971686.0,143412750.0,434000000.0,0
610,Dallas Mavericks,2019,43.0,32.0,,,307000000.0,0
611,Miami Heat,2019,44.0,29.0,,,294000000.0,0
612,Houston Rockets,2019,44.0,28.0,,,348000000.0,0
613,Utah Jazz,2019,44.0,28.0,,,258000000.0,0
614,Philadelphia 76ers,2019,43.0,30.0,,,300000000.0,0
615,Denver Nuggets,2019,46.0,27.0,,,252000000.0,0
616,Indiana Pacers,2019,45.0,28.0,,,243000000.0,0
617,Oklahoma City Thunder,2019,44.0,28.0,,,258000000.0,0
618,Phoenix Suns,2019,34.0,39.0,,,246000000.0,0
619,Brooklyn Nets,2019,35.0,37.0,,,304000000.0,0
620,Orlando Magic,2019,33.0,40.0,,,244000000.0,0
621,San Antonio Spurs,2019,32.0,39.0,,,285000000.0,0
622,Memphis Grizzlies,2019,34.0,39.0,,,224000000.0,0
623,Portland Trail Blazers,2019,35.0,39.0,,,287000000.0,0
624,New Orleans Pelicans,2019,30.0,42.0,,,224000000.0,0
625,Sacramento Kings,2019,31.0,41.0,,,286000000.0,0
626,Chicago Bulls,2019,22.0,43.0,,,301000000.0,0
627,Detroit Pistons,2019,20.0,46.0,,,255000000.0,0
628,Minnesota Timberwolves,2019,19.0,45.0,,,234000000.0,0
629,Washington Wizards,2019,25.0,47.0,,,269000000.0,0
630,New York Knicks,2019,21.0,45.0,,,472000000.0,0
631,Charlotte Hornets,2019,23.0,42.0,,,240000000.0,0
632,Atlanta Hawks,2019,20.0,47.0,,,251000000.0,0
633,Cleveland Cavaliers,2019,19.0,46.0,,,300000000.0,0
634,Golden State Warriors,2019,15.0,50.0,,,440000000.0,1
635,League Average,2019,,,,,,0
636,Team,2020,,,,,,0
637,Utah Jazz,2020,52.0,20.0,,,226000000.0,0
638,Los Angeles Clippers,2020,47.0,25.0,139722606.0,160596683.0,262000000.0,0
639,Phoenix Suns,2020,51.0,21.0,,,222000000.0,0
640,Milwaukee Bucks,2020,46.0,26.0,,,239000000.0,0
641,Philadelphia 76ers,2020,49.0,23.0,,,259000000.0,0
642,Denver Nuggets,2020,47.0,25.0,,,218000000.0,0
643,Brooklyn Nets,2020,48.0,24.0,,,280000000.0,0
644,Los Angeles Lakers,2020,42.0,30.0,139334713.0,160150838.0,400000000.0,0
645,Dallas Mavericks,2020,42.0,30.0,,,295000000.0,0
646,New York Knicks,2020,41.0,31.0,,,421000000.0,0
647,Atlanta Hawks,2020,41.0,31.0,,,222000000.0,0
648,Portland Trail Blazers,2020,42.0,30.0,,,240000000.0,0
649,Boston Celtics,2020,36.0,36.0,,,274000000.0,0
650,Golden State Warriors,2020,39.0,33.0,,,474000000.0,0
651,Memphis Grizzlies,2020,38.0,34.0,,,210000000.0,0
652,Miami Heat,2020,40.0,32.0,,,266000000.0,0
653,Indiana Pacers,2020,34.0,38.0,,,217000000.0,0
654,New Orleans Pelicans,2020,31.0,41.0,,,209000000.0,0
655,Toronto Raptors,2020,27.0,45.0,,,264000000.0,0
656,Chicago Bulls,2020,31.0,41.0,,,300000000.0,0
657,San Antonio Spurs,2020,33.0,39.0,,,255000000.0,0
658,Washington Wizards,2020,34.0,38.0,,,231000000.0,0
659,Charlotte Hornets,2020,33.0,39.0,,,215000000.0,0
660,Sacramento Kings,2020,31.0,41.0,,,245000000.0,0
661,Detroit Pistons,2020,20.0,52.0,,,227000000.0,0
662,Minnesota Timberwolves,2020,23.0,49.0,,,214000000.0,0
663,Houston Rockets,2020,17.0,55.0,,,308000000.0,0
664,Cleveland Cavaliers,2020,22.0,50.0,,,269000000.0,0
665,Orlando Magic,2020,21.0,51.0,,,218000000.0,0
666,Oklahoma City Thunder,2020,22.0,50.0,,,236000000.0,0
667,League Average,2020,,,,,,0
668,Team,2021,,,,,,0
669,Boston Celtics,2021,51.0,31.0,,,211000000.0,0
670,Phoenix Suns,2021,64.0,18.0,,,206000000.0,0
671,Utah Jazz,2021,49.0,33.0,,,262000000.0,0
672,Memphis Grizzlies,2021,56.0,26.0,,,186000000.0,0
673,Golden State Warriors,2021,53.0,29.0,,,258000000.0,0
674,Miami Heat,2021,53.0,29.0,,,218000000.0,0
675,Dallas Mavericks,2021,52.0,30.0,,,231000000.0,0
676,Milwaukee Bucks,2021,51.0,31.0,,,212000000.0,0
677,Philadelphia 76ers,2021,51.0,31.0,,,236000000.0,0
678,Minnesota Timberwolves,2021,46.0,36.0,,,199000000.0,0
679,Denver Nuggets,2021,48.0,34.0,,,185000000.0,0
680,Toronto Raptors,2021,48.0,34.0,,,194000000.0,0
681,Cleveland Cavaliers,2021,44.0,38.0,,,211000000.0,0
682,Atlanta Hawks,2021,43.0,39.0,,,199000000.0,0
683,Brooklyn Nets,2021,44.0,38.0,,,212000000.0,1
684,Charlotte Hornets,2021,43.0,39.0,,,183000000.0,0
685,San Antonio Spurs,2021,34.0,48.0,,,205000000.0,0
686,Los Angeles Clippers,2021,42.0,40.0,168378382.0,183633046.0,219000000.0,0
687,New York Knicks,2021,37.0,45.0,,,298000000.0,0
688,Chicago Bulls,2021,46.0,36.0,,,213000000.0,0
689,New Orleans Pelicans,2021,36.0,46.0,,,181000000.0,0
690,Los Angeles Lakers,2021,33.0,49.0,164409293.0,179304361.0,316000000.0,1
691,Washington Wizards,2021,35.0,47.0,,,213000000.0,0
692,Indiana Pacers,2021,25.0,57.0,,,179000000.0,0
693,Sacramento Kings,2021,30.0,52.0,,,192000000.0,0
694,Detroit Pistons,2021,23.0,59.0,,,192000000.0,0
695,Orlando Magic,2021,22.0,60.0,,,188000000.0,0
696,Oklahoma City Thunder,2021,24.0,58.0,,,183000000.0,0
697,Houston Rockets,2021,20.0,62.0,,,223000000.0,0
698,Portland Trail Blazers,2021,27.0,55.0,,,201000000.0,0
699,League Average,2021,,,,,,0
700,Team,2022,,,,,,0
701,Boston Celtics,2022,57.0,25.0,,,443000000.0,0
702,Cleveland Cavaliers,2022,51.0,31.0,,,348000000.0,0
703,Philadelphia 76ers,2022,54.0,28.0,,,371000000.0,0
704,Memphis Grizzlies,2022,51.0,31.0,,,258000000.0,0
705,Milwaukee Bucks,2022,58.0,24.0,,,329000000.0,0
706,Denver Nuggets,2022,53.0,29.0,,,348000000.0,0
707,New York Knicks,2022,47.0,35.0,,,504000000.0,0
708,Sacramento Kings,2022,48.0,34.0,,,289000000.0,0
709,Phoenix Suns,2022,45.0,37.0,,,366000000.0,0
710,New Orleans Pelicans,2022,42.0,40.0,,,262000000.0,0
711,Golden State Warriors,2022,44.0,38.0,,,765000000.0,0
712,Toronto Raptors,2022,41.0,41.0,,,305000000.0,0
713,Chicago Bulls,2022,40.0,42.0,,,372000000.0,0
714,Oklahoma City Thunder,2022,40.0,42.0,,,267000000.0,0
715,Brooklyn Nets,2022,45.0,37.0,,,367000000.0,1
716,Los Angeles Lakers,2022,43.0,39.0,169391473.0,179603738.0,516000000.0,1
717,Los Angeles Clippers,2022,44.0,38.0,192905421.0,204535294.0,425000000.0,0
718,Atlanta Hawks,2022,41.0,41.0,,,326000000.0,0
719,Dallas Mavericks,2022,38.0,44.0,,,429000000.0,0
720,Minnesota Timberwolves,2022,42.0,40.0,,,259000000.0,0
721,Miami Heat,2022,44.0,38.0,,,371000000.0,0
722,Utah Jazz,2022,37.0,45.0,,,274000000.0,0
723,Washington Wizards,2022,35.0,47.0,,,323000000.0,0
724,Orlando Magic,2022,34.0,48.0,,,261000000.0,0
725,Indiana Pacers,2022,35.0,47.0,,,263000000.0,0
726,Portland Trail Blazers,2022,33.0,49.0,,,300000000.0,0
727,Charlotte Hornets,2022,27.0,55.0,,,269000000.0,0
728,Houston Rockets,2022,22.0,60.0,,,381000000.0,0
729,Detroit Pistons,2022,17.0,65.0,,,274000000.0,0
730,San Antonio Spurs,2022,22.0,60.0,,,319000000.0,0
731,League Average,2022,,,,,,0
732,Team,2023,,,,,,0
733,Boston Celtics,2023,64.0,18.0,,,457000000.0,0
734,Oklahoma City Thunder,2023,57.0,25.0,,,320000000.0,0
735,Minnesota Timberwolves,2023,56.0,26.0,,,305000000.0,0
736,Denver Nuggets,2023,57.0,25.0,,,356000000.0,0
737,New York Knicks,2023,50.0,32.0,,,543000000.0,0
738,New Orleans Pelicans,2023,49.0,33.0,,,272000000.0,0
739,Los Angeles Clippers,2023,51.0,31.0,201366679.0,207350074.0,353000000.0,1
740,Philadelphia 76ers,2023,47.0,35.0,,,396000000.0,0
741,Phoenix Suns,2023,49.0,33.0,,,369000000.0,1
742,Indiana Pacers,2023,47.0,35.0,,,320000000.0,0
743,Golden State Warriors,2023,46.0,36.0,,,800000000.0,0
744,Milwaukee Bucks,2023,49.0,33.0,,,333000000.0,0
745,Cleveland Cavaliers,2023,48.0,34.0,,,391000000.0,0
746,Dallas Mavericks,2023,50.0,32.0,,,437000000.0,0
747,Orlando Magic,2023,47.0,35.0,,,285000000.0,0
748,Miami Heat,2023,46.0,36.0,,,371000000.0,0
749,Sacramento Kings,2023,46.0,36.0,,,320000000.0,0
750,Houston Rockets,2023,41.0,41.0,,,416000000.0,0
751,Los Angeles Lakers,2023,47.0,35.0,169876920.0,174924626.0,522000000.0,1
752,Chicago Bulls,2023,39.0,43.0,,,414000000.0,0
753,Atlanta Hawks,2023,36.0,46.0,,,353000000.0,0
754,Brooklyn Nets,2023,32.0,50.0,,,381000000.0,0
755,Utah Jazz,2023,31.0,51.0,,,318000000.0,0
756,San Antonio Spurs,2023,22.0,60.0,,,363000000.0,0
757,Toronto Raptors,2023,25.0,57.0,,,341000000.0,0
758,Memphis Grizzlies,2023,27.0,55.0,,,291000000.0,0
759,Detroit Pistons,2023,14.0,68.0,,,305000000.0,0
760,Washington Wizards,2023,15.0,67.0,,,362000000.0,0
761,Portland Trail Blazers,2023,21.0,61.0,,,335000000.0,0
762,Charlotte Hornets,2023,21.0,61.0,,,308000000.0,0
763,League Average,2023,,,,,,0
764,Team,2024,,,,,,0
765,Oklahoma City Thunder,2024,68.0,14.0,,,321000000.0,0
766,Boston Celtics,2024,61.0,21.0,,,452000000.0,0
767,Cleveland Cavaliers,2024,64.0,18.0,,,406000000.0,0
768,Minnesota Timberwolves,2024,49.0,33.0,,,328000000.0,0
769,Los Angeles Clippers,2024,50.0,32.0,174124752.0,174124752.0,351000000.0,1
770,Memphis Grizzlies,2024,48.0,34.0,,,299000000.0,0
771,Houston Rockets,2024,52.0,30.0,,,402000000.0,0
772,New York Knicks,2024,51.0,31.0,,,578000000.0,0
773,Denver Nuggets,2024,50.0,32.0,,,386000000.0,0
774,Golden State Warriors,2024,48.0,34.0,,,781000000.0,0
775,Milwaukee Bucks,2024,48.0,34.0,,,350000000.0,0
776,Indiana Pacers,2024,50.0,32.0,,,339000000.0,0
777,Detroit Pistons,2024,44.0,38.0,,,306000000.0,0
778,Los Angeles Lakers,2024,50.0,32.0,192057940.0,192057940.0,528000000.0,0
779,Miami Heat,2024,37.0,45.0,,,394000000.0,0
780,Sacramento Kings,2024,40.0,42.0,,,425000000.0,0
781,Orlando Magic,2024,41.0,41.0,,,317000000.0,0
782,Atlanta Hawks,2024,40.0,42.0,,,384000000.0,0
783,Dallas Mavericks,2024,39.0,43.0,,,430000000.0,0
784,Chicago Bulls,2024,39.0,43.0,,,402000000.0,0
785,San Antonio Spurs,2024,34.0,48.0,,,344000000.0,0
786,Portland Trail Blazers,2024,36.0,46.0,,,339000000.0,0
787,Phoenix Suns,2024,36.0,46.0,,,377000000.0,1
788,Toronto Raptors,2024,30.0,52.0,,,349000000.0,0
789,Philadelphia 76ers,2024,24.0,58.0,,,394000000.0,0
790,Brooklyn Nets,2024,26.0,56.0,,,389000000.0,0
791,Utah Jazz,2024,17.0,65.0,,,367000000.0,0
792,Charlotte Hornets,2024,19.0,63.0,,,304000000.0,0
793,New Orleans Pelicans,2024,21.0,61.0,,,311000000.0,0
794,Washington Wizards,2024,18.0,64.0,,,357000000.0,0
795,League Average,2024,,,,,,0
