Unnamed: 0,Team,Season,Wins,Losses,payroll,inflationAdjPayroll,revenue,Superteam
99,Dallas Mavericks,2003,52.0,30.0,,,117000000.0,0
100,Los Angeles Lakers,2003,56.0,26.0,64123085.0,103431541.0,149000000.0,1
101,New Jersey Nets,2003,47.0,35.0,,,94000000.0,0
102,Memphis Grizzlies,2003,50.0,32.0,,,63000000.0,0
103,Houston Rockets,2003,45.0,37.0,,,82000000.0,0
104,Denver Nuggets,2003,43.0,39.0,,,75000000.0,0
105,Milwaukee Bucks,2003,41.0,41.0,,,70000000.0,0
106,Miami Heat,2003,42.0,40.0,,,91000000.0,0
107,New Orleans Hornets,2003,41.0,41.0,,,80000000.0,0
108,Seattle SuperSonics,2003,37.0,45.0,,,70000000.0,0
109,Golden State Warriors,2003,37.0,45.0,,,70000000.0,0
110,Portland Trail Blazers,2003,41.0,41.0,,,,0
111,Utah Jazz,2003,42.0,40.0,,,85000000.0,0
112,Boston Celtics,2003,36.0,46.0,,,97000000.0,0
113,New York Knicks,2003,39.0,43.0,,,160000000.0,0
114,Philadelphia 76ers,2003,33.0,49.0,,,109000000.0,0
115,Cleveland Cavaliers,2003,35.0,47.0,,,72000000.0,0
116,Toronto Raptors,2003,33.0,49.0,,,96000000.0,0
117,Phoenix Suns,2003,29.0,53.0,,,109000000.0,0
118,Los Angeles Clippers,2003,28.0,54.0,39114363.0,63092076.0,72000000.0,0
119,Atlanta Hawks,2003,28.0,54.0,,,78000000.0,0
120,Washington Wizards,2003,25.0,57.0,,,98000000.0,0
121,Chicago Bulls,2003,23.0,59.0,,,119000000.0,0
122,Orlando Magic,2003,21.0,61.0,,,80000000.0,0
123,League Average,2003,,,,,,0
124,Team,2004,,,,,,0
125,San Antonio Spurs,2004,59.0,23.0,,,121000000.0,0
126,Phoenix Suns,2004,62.0,20.0,,,132000000.0,0
127,Miami Heat,2004,59.0,23.0,,,119000000.0,0
128,Dallas Mavericks,2004,58.0,24.0,,,124000000.0,0
129,Houston Rockets,2004,51.0,31.0,,,141000000.0,0
130,Detroit Pistons,2004,54.0,28.0,,,134000000.0,0
131,Seattle SuperSonics,2004,52.0,30.0,,,81000000.0,0
132,Memphis Grizzlies,2004,45.0,37.0,,,98000000.0,0
133,Sacramento Kings,2004,50.0,32.0,,,119000000.0,0
134,Denver Nuggets,2004,49.0,33.0,,,,0
135,Minnesota Timberwolves,2004,44.0,38.0,,,101000000.0,0
136,Chicago Bulls,2004,47.0,35.0,,,136000000.0,0
137,Boston Celtics,2004,45.0,37.0,,,110000000.0,0
138,Cleveland Cavaliers,2004,42.0,40.0,,,102000000.0,0
139,Indiana Pacers,2004,44.0,38.0,,,108000000.0,0
140,Washington Wizards,2004,45.0,37.0,,,106000000.0,0
141,Philadelphia 76ers,2004,43.0,39.0,,,110000000.0,0
142,Los Angeles Clippers,2004,37.0,45.0,45483265.0,71044757.0,83000000.0,0
143,New Jersey Nets,2004,42.0,40.0,,,87000000.0,0
144,Toronto Raptors,2004,33.0,49.0,,,94000000.0,0
145,Golden State Warriors,2004,34.0,48.0,,,81000000.0,0
146,Orlando Magic,2004,36.0,46.0,,,82000000.0,0
147,New York Knicks,2004,33.0,49.0,,,181000000.0,0
148,Milwaukee Bucks,2004,30.0,52.0,,,78000000.0,0
149,Los Angeles Lakers,2004,34.0,48.0,65059098.0,101622167.0,156000000.0,1
150,Portland Trail Blazers,2004,27.0,55.0,,,78000000.0,0
151,Utah Jazz,2004,26.0,56.0,,,91000000.0,0
152,Charlotte Bobcats,2004,18.0,64.0,,,73000000.0,0
153,New Orleans Hornets,2004,18.0,64.0,,,78000000.0,0
154,Atlanta Hawks,2004,13.0,69.0,,,87000000.0,0
155,League Average,2004,,,,,,0
156,Team,2005,,,,,,0
157,San Antonio Spurs,2005,63.0,19.0,,,131000000.0,0
158,Detroit Pistons,2005,64.0,18.0,,,154000000.0,0
159,Dallas Mavericks,2005,60.0,22.0,,,140000000.0,0
160,Phoenix Suns,2005,54.0,28.0,,,145000000.0,0
161,Memphis Grizzlies,2005,49.0,33.0,,,98000000.0,0
162,Miami Heat,2005,52.0,30.0,,,131000000.0,0
163,Los Angeles Lakers,2005,45.0,37.0,72917945.0,111086824.0,168000000.0,0
164,Cleveland Cavaliers,2005,50.0,32.0,,,152000000.0,0
165,Indiana Pacers,2005,41.0,41.0,,,107000000.0,0
166,Washington Wizards,2005,42.0,40.0,,,112000000.0,0
167,Sacramento Kings,2005,44.0,38.0,,,128000000.0,0
168,Los Angeles Clippers,2005,47.0,35.0,51358645.0,78242312.0,98000000.0,0
169,New Jersey Nets,2005,49.0,33.0,,,102000000.0,0
170,Chicago Bulls,2005,41.0,41.0,,,161000000.0,0
171,Denver Nuggets,2005,44.0,38.0,,,104000000.0,0
172,Milwaukee Bucks,2005,40.0,42.0,,,88000000.0,0
173,Orlando Magic,2005,36.0,46.0,,,92000000.0,0
174,Golden State Warriors,2005,34.0,48.0,,,103000000.0,0
175,Houston Rockets,2005,34.0,48.0,,,149000000.0,0
176,Boston Celtics,2005,33.0,49.0,,,117000000.0,0
177,Minnesota Timberwolves,2005,33.0,49.0,,,103000000.0,0
178,Philadelphia 76ers,2005,38.0,44.0,,,112000000.0,0
179,Utah Jazz,2005,41.0,41.0,,,114000000.0,0
180,New Orleans/Oklahoma City Hornets,2005,38.0,44.0,,,,0
181,Toronto Raptors,2005,27.0,55.0,,,124000000.0,0
182,Seattle SuperSonics,2005,35.0,47.0,,,81000000.0,0
183,Charlotte Bobcats,2005,26.0,56.0,,,93000000.0,0
184,Atlanta Hawks,2005,26.0,56.0,,,95000000.0,0
185,New York Knicks,2005,23.0,59.0,,,185000000.0,0
186,Portland Trail Blazers,2005,21.0,61.0,,,82000000.0,0
187,League Average,2005,,,,,,0
188,Team,2006,,,,,,0
189,San Antonio Spurs,2006,58.0,24.0,,,131000000.0,0
190,Dallas Mavericks,2006,67.0,15.0,,,140000000.0,0
191,Phoenix Suns,2006,61.0,21.0,,,145000000.0,0
192,Chicago Bulls,2006,49.0,33.0,,,161000000.0,0
193,Houston Rockets,2006,52.0,30.0,,,149000000.0,0
194,Detroit Pistons,2006,53.0,29.0,,,154000000.0,0
195,Cleveland Cavaliers,2006,50.0,32.0,,,152000000.0,0
196,Utah Jazz,2006,51.0,31.0,,,114000000.0,0
197,Denver Nuggets,2006,45.0,37.0,,,104000000.0,0
198,Toronto Raptors,2006,47.0,35.0,,,124000000.0,0
199,Orlando Magic,2006,40.0,42.0,,,92000000.0,0
200,Los Angeles Lakers,2006,42.0,40.0,77099949.0,112595178.0,170000000.0,0
201,Golden State Warriors,2006,42.0,40.0,,,103000000.0,0
202,Washington Wizards,2006,41.0,41.0,,,112000000.0,0
203,Los Angeles Clippers,2006,40.0,42.0,59181038.0,86426765.0,98000000.0,0
204,New Jersey Nets,2006,41.0,41.0,,,102000000.0,0
205,Miami Heat,2006,44.0,38.0,,,131000000.0,0
206,New Orleans/Oklahoma City Hornets,2006,39.0,43.0,,,,0
207,Sacramento Kings,2006,33.0,49.0,,,128000000.0,0
208,Indiana Pacers,2006,35.0,47.0,,,107000000.0,0
209,Seattle SuperSonics,2006,31.0,51.0,,,81000000.0,0
210,New York Knicks,2006,33.0,49.0,,,196000000.0,0
211,Philadelphia 76ers,2006,35.0,47.0,,,112000000.0,0
212,Boston Celtics,2006,24.0,58.0,,,117000000.0,0
213,Minnesota Timberwolves,2006,32.0,50.0,,,103000000.0,0
214,Charlotte Bobcats,2006,33.0,49.0,,,93000000.0,0
215,Milwaukee Bucks,2006,28.0,54.0,,,88000000.0,0
216,Portland Trail Blazers,2006,32.0,50.0,,,82000000.0,0
217,Atlanta Hawks,2006,30.0,52.0,,,95000000.0,0
218,Memphis Grizzlies,2006,22.0,60.0,,,98000000.0,0
219,League Average,2006,,,,,,0
220,Team,2007,,,,,,0
221,Boston Celtics,2007,66.0,16.0,,,151000000.0,1
222,Detroit Pistons,2007,59.0,23.0,,,147000000.0,0
223,Los Angeles Lakers,2007,57.0,25.0,72626796.0,103287307.0,214000000.0,0
224,Utah Jazz,2007,54.0,28.0,,,121000000.0,0
225,Orlando Magic,2007,52.0,30.0,,,108000000.0,0
226,New Orleans Hornets,2007,56.0,26.0,,,,0
227,San Antonio Spurs,2007,56.0,26.0,,,135000000.0,0
228,Houston Rockets,2007,55.0,27.0,,,153000000.0,0
229,Phoenix Suns,2007,55.0,27.0,,,147000000.0,0
230,Dallas Mavericks,2007,51.0,31.0,,,146000000.0,0
231,Denver Nuggets,2007,50.0,32.0,,,113000000.0,0
232,Toronto Raptors,2007,41.0,41.0,,,138000000.0,0
233,Golden State Warriors,2007,48.0,34.0,,,119000000.0,0
234,Philadelphia 76ers,2007,40.0,42.0,,,110000000.0,0
235,Washington Wizards,2007,43.0,39.0,,,107000000.0,0
236,Cleveland Cavaliers,2007,45.0,37.0,,,161000000.0,0
237,Portland Trail Blazers,2007,41.0,41.0,,,127000000.0,0
238,Indiana Pacers,2007,36.0,46.0,,,,0
239,Atlanta Hawks,2007,37.0,45.0,,,105000000.0,0
240,Sacramento Kings,2007,38.0,44.0,,,103000000.0,0
241,Chicago Bulls,2007,33.0,49.0,,,169000000.0,0
242,Charlotte Bobcats,2007,32.0,50.0,,,98000000.0,0
243,New Jersey Nets,2007,34.0,48.0,,,89000000.0,0
244,Memphis Grizzlies,2007,22.0,60.0,,,92000000.0,0
245,New York Knicks,2007,23.0,59.0,,,226000000.0,0
246,Minnesota Timberwolves,2007,22.0,60.0,,,95000000.0,0
247,Milwaukee Bucks,2007,26.0,56.0,,,92000000.0,0
248,Los Angeles Clippers,2007,23.0,59.0,64847945.0,92224494.0,102000000.0,0
249,Seattle SuperSonics,2007,20.0,62.0,,,,0
250,Miami Heat,2007,15.0,67.0,,,,0
251,League Average,2007,,,,,,0
252,Team,2008,,,,,,0
253,Cleveland Cavaliers,2008,66.0,16.0,,,161000000.0,0
254,Boston Celtics,2008,62.0,20.0,,,151000000.0,1
255,Los Angeles Lakers,2008,65.0,17.0,78245793.0,105957488.0,214000000.0,0
256,Orlando Magic,2008,59.0,23.0,,,108000000.0,0
257,Portland Trail Blazers,2008,54.0,28.0,,,127000000.0,0
258,Houston Rockets,2008,53.0,29.0,,,153000000.0,0
259,San Antonio Spurs,2008,54.0,28.0,,,135000000.0,0
260,Denver Nuggets,2008,54.0,28.0,,,113000000.0,0
261,Utah Jazz,2008,48.0,34.0,,,121000000.0,0
262,Dallas Mavericks,2008,50.0,32.0,,,146000000.0,0
263,Phoenix Suns,2008,46.0,36.0,,,147000000.0,0
