team,wins,losses,season,payroll,inflationAdjPayroll,revenue
Philadelphia 76ers,54.0,28.0,2022,150496913.0,159570063.0,371000000.0
Memphis Grizzlies,51.0,31.0,2022,127139520.0,134804500.0,258000000.0
Milwaukee Bucks,58.0,24.0,2022,182930771.0,193959293.0,329000000.0
Denver Nuggets,53.0,29.0,2022,162338665.0,172125732.0,348000000.0
New York Knicks,47.0,35.0,2022,148987936.0,157970114.0,504000000.0
Sacramento Kings,48.0,34.0,2022,139423615.0,147829176.0,289000000.0
Phoenix Suns,45.0,37.0,2022,176042453.0,186655694.0,366000000.0
New Orleans Pelicans,42.0,40.0,2022,148360910.0,157305287.0,262000000.0
Golden State Warriors,44.0,38.0,2022,192386134.0,203984702.0,765000000.0
Toronto Raptors,41.0,41.0,2022,150992313.0,160095330.0,305000000.0
Chicago Bulls,40.0,42.0,2022,151964990.0,161126647.0,372000000.0
Oklahoma City Thunder,40.0,42.0,2022,148856338.0,157830582.0,267000000.0
Brooklyn Nets,45.0,37.0,2022,159566723.0,169186672.0,367000000.0
Los Angeles Lakers,43.0,39.0,2022,169391473.0,179603738.0,516000000.0
Los Angeles Clippers,44.0,38.0,2022,192905421.0,204535294.0,425000000.0
Atlanta Hawks,41.0,41.0,2022,149836313.0,158869639.0,326000000.0
Dallas Mavericks,38.0,44.0,2022,177244238.0,187929929.0,429000000.0
Minnesota Timberwolves,42.0,40.0,2022,145793656.0,154583256.0,259000000.0
Miami Heat,44.0,38.0,2022,151408266.0,160536360.0,371000000.0
Utah Jazz,37.0,45.0,2022,148738241.0,157705365.0,274000000.0
Washington Wizards,35.0,47.0,2022,152008934.0,161173239.0,323000000.0
Orlando Magic,34.0,48.0,2022,126107324.0,133710077.0,261000000.0
Indiana Pacers,35.0,47.0,2022,125706114.0,133284674.0,263000000.0
Portland Trail Blazers,33.0,49.0,2022,144997250.0,153738833.0,300000000.0
Charlotte Hornets,27.0,55.0,2022,125874047.0,133462735.0,269000000.0
Houston Rockets,22.0,60.0,2022,137579793.0,145874191.0,381000000.0
Detroit Pistons,17.0,65.0,2022,129153570.0,136939969.0,274000000.0
San Antonio Spurs,22.0,60.0,2022,104545376.0,110848194.0,319000000.0
League Average,,,2022,,,
Team,,,2023,,,
Boston Celtics,64.0,18.0,2023,186940921.0,192495669.0,457000000.0
Oklahoma City Thunder,57.0,25.0,2023,162515272.0,167344233.0,320000000.0
Minnesota Timberwolves,56.0,26.0,2023,166434327.0,171379743.0,305000000.0
Denver Nuggets,57.0,25.0,2023,180922992.0,186298923.0,356000000.0
New York Knicks,50.0,32.0,2023,164990518.0,169893032.0,543000000.0
New Orleans Pelicans,49.0,33.0,2023,167403924.0,172378150.0,272000000.0
Los Angeles Clippers,51.0,31.0,2023,201366679.0,207350074.0,353000000.0
Philadelphia 76ers,47.0,35.0,2023,166271894.0,171212482.0,396000000.0
Phoenix Suns,49.0,33.0,2023,193838882.0,199598596.0,369000000.0
Indiana Pacers,47.0,35.0,2023,148722330.0,153141451.0,320000000.0
Golden State Warriors,46.0,36.0,2023,209354737.0,215575491.0,800000000.0
Milwaukee Bucks,49.0,33.0,2023,187346674.0,192913480.0,333000000.0
Cleveland Cavaliers,48.0,34.0,2023,166874287.0,171832777.0,391000000.0
Dallas Mavericks,50.0,32.0,2023,167755884.0,172740566.0,437000000.0
Orlando Magic,47.0,35.0,2023,132643598.0,136584956.0,285000000.0
Miami Heat,46.0,36.0,2023,177143542.0,182407172.0,371000000.0
Sacramento Kings,46.0,36.0,2023,153564021.0,158127009.0,320000000.0
Houston Rockets,41.0,41.0,2023,149356730.0,153794701.0,416000000.0
Los Angeles Lakers,47.0,35.0,2023,169876920.0,174924626.0,522000000.0
Chicago Bulls,39.0,43.0,2023,165630436.0,170551964.0,414000000.0
Atlanta Hawks,36.0,46.0,2023,159153393.0,163882464.0,353000000.0
Brooklyn Nets,32.0,50.0,2023,155015136.0,159621241.0,381000000.0
Utah Jazz,31.0,51.0,2023,133738448.0,137712338.0,318000000.0
San Antonio Spurs,22.0,60.0,2023,142867770.0,147112925.0,363000000.0
Toronto Raptors,25.0,57.0,2023,163054678.0,167899669.0,341000000.0
Memphis Grizzlies,27.0,55.0,2023,162649524.0,167482470.0,291000000.0
Detroit Pistons,14.0,68.0,2023,139233014.0,143370164.0,305000000.0
Washington Wizards,15.0,67.0,2023,150856313.0,155338839.0,362000000.0
Portland Trail Blazers,21.0,61.0,2023,165263993.0,170174630.0,335000000.0
Charlotte Hornets,21.0,61.0,2023,135774484.0,139808870.0,308000000.0
League Average,,,2023,,,
Team,,,2024,,,
Oklahoma City Thunder,68.0,14.0,2024,166418720.0,166418720.0,321000000.0
Boston Celtics,61.0,21.0,2024,195348491.0,195348491.0,452000000.0
Cleveland Cavaliers,64.0,18.0,2024,165110486.0,165110486.0,406000000.0
Minnesota Timberwolves,49.0,33.0,2024,203708244.0,203708244.0,328000000.0
Los Angeles Clippers,50.0,32.0,2024,174124752.0,174124752.0,351000000.0
Memphis Grizzlies,48.0,34.0,2024,165903638.0,165903638.0,299000000.0
Houston Rockets,52.0,30.0,2024,163038023.0,163038023.0,402000000.0
New York Knicks,51.0,31.0,2024,191906878.0,191906878.0,578000000.0
Denver Nuggets,50.0,32.0,2024,185864258.0,185864258.0,386000000.0
Golden State Warriors,48.0,34.0,2024,170316619.0,170316619.0,781000000.0
Milwaukee Bucks,48.0,34.0,2024,182559432.0,182559432.0,350000000.0
Indiana Pacers,50.0,32.0,2024,166742248.0,166742248.0,339000000.0
Detroit Pistons,44.0,38.0,2024,140501660.0,140501660.0,306000000.0
Los Angeles Lakers,50.0,32.0,2024,192057940.0,192057940.0,528000000.0
Miami Heat,37.0,45.0,2024,176102077.0,176102077.0,394000000.0
Sacramento Kings,40.0,42.0,2024,167811057.0,167811057.0,425000000.0
Orlando Magic,41.0,41.0,2024,152308863.0,152308863.0,317000000.0
Atlanta Hawks,40.0,42.0,2024,170057021.0,170057021.0,384000000.0
Dallas Mavericks,39.0,43.0,2024,174411922.0,174411922.0,430000000.0
Chicago Bulls,39.0,43.0,2024,165722496.0,165722496.0,402000000.0
San Antonio Spurs,34.0,48.0,2024,162395330.0,162395330.0,344000000.0
Portland Trail Blazers,36.0,46.0,2024,167012048.0,167012048.0,339000000.0
Phoenix Suns,36.0,46.0,2024,220708856.0,220708856.0,377000000.0
Toronto Raptors,30.0,52.0,2024,170516134.0,170516134.0,349000000.0
Philadelphia 76ers,24.0,58.0,2024,171336738.0,171336738.0,394000000.0
Brooklyn Nets,26.0,56.0,2024,168312896.0,168312896.0,389000000.0
Utah Jazz,17.0,65.0,2024,154060898.0,154060898.0,367000000.0
Charlotte Hornets,19.0,63.0,2024,168575524.0,168575524.0,304000000.0
New Orleans Pelicans,21.0,61.0,2024,172778396.0,172778396.0,311000000.0
Washington Wizards,18.0,64.0,2024,173806822.0,173806822.0,357000000.0
League Average,,,2024,,,
