Unnamed: 0,team,seasonStartYear,payroll,inflationAdjPayroll,team_standardized
18,New Orleans,2019,117868297.0,136352236.0,New Orleans Pelicans
19,Boston,2019,117759332.0,136226186.0,Boston Celtics
20,Minnesota,2019,114202982.0,132112131.0,Minnesota Timberwolves
21,Sacramento,2019,113796966.0,131642442.0,Sacramento Kings
22,Indiana,2019,112872260.0,130572726.0,Indiana Pacers
23,Chicago,2019,112601901.0,130259969.0,Chicago Bulls
24,Atlanta,2019,110702618.0,128062845.0,Atlanta Hawks
25,Detroit,2019,104527576.0,120919438.0,Detroit Pistons
26,New York,2019,100232129.0,115950387.0,New York Knicks
27,Phoenix,2019,98539675.0,113992525.0,Phoenix Suns
28,Memphis,2019,98495848.0,113941826.0,Memphis Grizzlies
29,Charlotte,2019,96552033.0,111693183.0,Charlotte Hornets
0,Golden State,2020,171105334.0,196667884.0,Golden State Warriors
1,Brooklyn,2020,170444633.0,195908476.0,Brooklyn Nets
2,Philadelphia,2020,147825311.0,169909902.0,Philadelphia 76ers
3,LA Clippers,2020,139722606.0,160596683.0,Los Angeles Clippers
4,LA Lakers,2020,139334713.0,160150838.0,Los Angeles Lakers
5,Utah,2020,136881324.0,157330923.0,Utah Jazz
6,Milwaukee,2020,136623929.0,157035070.0,Milwaukee Bucks
7,Miami,2020,134731235.0,154859617.0,Miami Heat
8,New Orleans,2020,133901495.0,153905916.0,New Orleans Pelicans
9,Boston,2020,132931565.0,152791083.0,Boston Celtics
10,Memphis,2020,132022601.0,151746320.0,Memphis Grizzlies
11,Portland,2020,131904647.0,151610748.0,Portland Trail Blazers
12,Houston,2020,131784255.0,151472362.0,Houston Rockets
13,Washington,2020,131294012.0,150908882.0,Washington Wizards
14,Minnesota,2020,130334934.0,149806526.0,Minnesota Timberwolves
15,Indiana,2020,130237102.0,149694076.0,Indiana Pacers
16,Denver,2020,129793210.0,149183867.0,Denver Nuggets
17,Cleveland,2020,129605319.0,148967902.0,Cleveland Cavaliers
18,San Antonio,2020,129537825.0,148890327.0,San Antonio Spurs
19,Toronto,2020,129131910.0,148423773.0,Toronto Raptors
20,Chicago,2020,128963580.0,148230296.0,Chicago Bulls
21,Phoenix,2020,128858241.0,148109217.0,Phoenix Suns
22,Dallas,2020,127657823.0,146729462.0,Dallas Mavericks
23,Orlando,2020,121739163.0,139926571.0,Orlando Magic
24,Atlanta,2020,118804016.0,136552926.0,Atlanta Hawks
25,Detroit,2020,117041599.0,134527206.0,Detroit Pistons
26,Charlotte,2020,108218809.0,124386327.0,Charlotte Hornets
27,Sacramento,2020,106847430.0,122810063.0,Sacramento Kings
28,New York,2020,102137151.0,117396083.0,New York Knicks
29,Oklahoma City,2020,95774839.0,110083267.0,Oklahoma City Thunder
0,Golden State,2021,178980766.0,195195980.0,Golden State Warriors
1,Brooklyn,2021,174811922.0,190649447.0,Brooklyn Nets
2,LA Clippers,2021,168378382.0,183633046.0,Los Angeles Clippers
3,LA Lakers,2021,164409293.0,179304361.0,Los Angeles Lakers
4,Milwaukee,2021,160875421.0,175450332.0,Milwaukee Bucks
5,Utah,2021,149760719.0,163328668.0,Utah Jazz
6,Philadelphia,2021,148922969.0,162415018.0,Philadelphia 76ers
7,Miami,2021,140840240.0,153600014.0,Miami Heat
8,Indiana,2021,138181486.0,150700383.0,Indiana Pacers
9,Denver,2021,137963926.0,150463115.0,Denver Nuggets
10,Minnesota,2021,137432702.0,149883767.0,Minnesota Timberwolves
11,Boston,2021,136557646.0,148929426.0,Boston Celtics
12,Phoenix,2021,136476474.0,148840901.0,Phoenix Suns
13,Cleveland,2021,136385911.0,148742131.0,Cleveland Cavaliers
14,Chicago,2021,136083814.0,148412668.0,Chicago Bulls
15,New Orleans,2021,135793968.0,148096563.0,New Orleans Pelicans
16,Atlanta,2021,135166020.0,147411722.0,Atlanta Hawks
17,Toronto,2021,134896484.0,147117769.0,Toronto Raptors
18,Houston,2021,132267085.0,144250150.0,Houston Rockets
19,Detroit,2021,131120355.0,142999530.0,Detroit Pistons
20,Sacramento,2021,130457848.0,142277004.0,Sacramento Kings
21,Washington,2021,128019790.0,139618062.0,Washington Wizards
22,San Antonio,2021,127655401.0,139220659.0,San Antonio Spurs
23,Orlando,2021,126786646.0,138273195.0,Orlando Magic
24,Dallas,2021,126696965.0,138175392.0,Dallas Mavericks
25,Portland,2021,124788473.0,136093994.0,Portland Trail Blazers
26,Charlotte,2021,122139566.0,133205107.0,Charlotte Hornets
27,New York,2021,120644081.0,131574134.0,New York Knicks
28,Memphis,2021,117284457.0,127910133.0,Memphis Grizzlies
29,Oklahoma City,2021,82022873.0,89453934.0,Oklahoma City Thunder
0,Golden State,2022,192386134.0,203984702.0,Golden State Warriors
1,Brooklyn,2022,159566723.0,169186672.0,Brooklyn Nets
2,LA Clippers,2022,192905421.0,204535294.0,Los Angeles Clippers
3,LA Lakers,2022,169391473.0,179603738.0,Los Angeles Lakers
4,Milwaukee,2022,182930771.0,193959293.0,Milwaukee Bucks
5,Utah,2022,148738241.0,157705365.0,Utah Jazz
6,Philadelphia,2022,150496913.0,159570063.0,Philadelphia 76ers
7,Miami,2022,151408266.0,160536360.0,Miami Heat
8,Indiana,2022,125706114.0,133284674.0,Indiana Pacers
9,Denver,2022,162338665.0,172125732.0,Denver Nuggets
10,Minnesota,2022,145793656.0,154583256.0,Minnesota Timberwolves
11,Boston,2022,178633307.0,189402747.0,Boston Celtics
12,Phoenix,2022,176042453.0,186655694.0,Phoenix Suns
13,Cleveland,2022,151966241.0,161127975.0,Cleveland Cavaliers
14,Chicago,2022,151964990.0,161126647.0,Chicago Bulls
15,New Orleans,2022,148360910.0,157305287.0,New Orleans Pelicans
16,Atlanta,2022,149836313.0,158869639.0,Atlanta Hawks
17,Toronto,2022,150992313.0,160095330.0,Toronto Raptors
18,Houston,2022,137579793.0,145874191.0,Houston Rockets
19,Detroit,2022,129153570.0,136939969.0,Detroit Pistons
20,Sacramento,2022,139423615.0,147829176.0,Sacramento Kings
21,Washington,2022,152008934.0,161173239.0,Washington Wizards
22,San Antonio,2022,104545376.0,110848194.0,San Antonio Spurs
23,Orlando,2022,126107324.0,133710077.0,Orlando Magic
24,Dallas,2022,177244238.0,187929929.0,Dallas Mavericks
25,Portland,2022,144997250.0,153738833.0,Portland Trail Blazers
26,Charlotte,2022,125874047.0,133462735.0,Charlotte Hornets
27,New York,2022,148987936.0,157970114.0,New York Knicks
28,Memphis,2022,127139520.0,134804500.0,Memphis Grizzlies
29,Oklahoma City,2022,148856338.0,157830582.0,Oklahoma City Thunder
0,Golden State,2023,209354737.0,215575491.0,Golden State Warriors
1,Brooklyn,2023,155015136.0,159621241.0,Brooklyn Nets
2,LA Clippers,2023,201366679.0,207350074.0,Los Angeles Clippers
3,LA Lakers,2023,169876920.0,174924626.0,Los Angeles Lakers
4,Milwaukee,2023,187346674.0,192913480.0,Milwaukee Bucks
5,Utah,2023,133738448.0,137712338.0,Utah Jazz
6,Philadelphia,2023,166271894.0,171212482.0,Philadelphia 76ers
7,Miami,2023,177143542.0,182407172.0,Miami Heat
8,Indiana,2023,148722330.0,153141451.0,Indiana Pacers
9,Denver,2023,180922992.0,186298923.0,Denver Nuggets
10,Minnesota,2023,166434327.0,171379743.0,Minnesota Timberwolves
11,Boston,2023,186940921.0,192495669.0,Boston Celtics
12,Phoenix,2023,193838882.0,199598596.0,Phoenix Suns
13,Cleveland,2023,166874287.0,171832777.0,Cleveland Cavaliers
14,Chicago,2023,165630436.0,170551964.0,Chicago Bulls
15,New Orleans,2023,167403924.0,172378150.0,New Orleans Pelicans
16,Atlanta,2023,159153393.0,163882464.0,Atlanta Hawks
17,Toronto,2023,163054678.0,167899669.0,Toronto Raptors
18,Houston,2023,149356730.0,153794701.0,Houston Rockets
19,Detroit,2023,139233014.0,143370164.0,Detroit Pistons
20,Sacramento,2023,153564021.0,158127009.0,Sacramento Kings
21,Washington,2023,150856313.0,155338839.0,Washington Wizards
22,San Antonio,2023,142867770.0,147112925.0,San Antonio Spurs
23,Orlando,2023,132643598.0,136584956.0,Orlando Magic
24,Dallas,2023,167755884.0,172740566.0,Dallas Mavericks
25,Portland,2023,165263993.0,170174630.0,Portland Trail Blazers
26,Charlotte,2023,135774484.0,139808870.0,Charlotte Hornets
27,New York,2023,164990518.0,169893032.0,New York Knicks
28,Memphis,2023,162649524.0,167482470.0,Memphis Grizzlies
29,Oklahoma City,2023,162515272.0,167344233.0,Oklahoma City Thunder
0,GoldenState,2024,170316619.0,170316619.0,Golden State Warriors
1,Brooklyn,2024,168312896.0,168312896.0,Brooklyn Nets
2,LA Clippers,2024,174124752.0,174124752.0,Los Angeles Clippers
3,LA Lakers,2024,192057940.0,192057940.0,Los Angeles Lakers
4,Milwaukee,2024,182559432.0,182559432.0,Milwaukee Bucks
5,Utah,2024,154060898.0,154060898.0,Utah Jazz
6,Philadelphia,2024,171336738.0,171336738.0,Philadelphia 76ers
7,Miami,2024,176102077.0,176102077.0,Miami Heat
8,Indiana,2024,166742248.0,166742248.0,Indiana Pacers
9,Denver,2024,185864258.0,185864258.0,Denver Nuggets
10,Minnesota,2024,203708244.0,203708244.0,Minnesota Timberwolves
11,Boston,2024,195348491.0,195348491.0,Boston Celtics
12,Phoenix,2024,220708856.0,220708856.0,Phoenix Suns
13,Cleveland,2024,165110486.0,165110486.0,Cleveland Cavaliers
14,Chicago,2024,165722496.0,165722496.0,Chicago Bulls
15,New Orleans,2024,172778396.0,172778396.0,New Orleans Pelicans
16,Atlanta,2024,170057021.0,170057021.0,Atlanta Hawks
17,Toronto,2024,170516134.0,170516134.0,Toronto Raptors
18,Houston,2024,163038023.0,163038023.0,Houston Rockets
19,Detroit,2024,140501660.0,140501660.0,Detroit Pistons
20,Sacramento,2024,167811057.0,167811057.0,Sacramento Kings
21,Washington,2024,173806822.0,173806822.0,Washington Wizards
22,San Antonio,2024,162395330.0,162395330.0,San Antonio Spurs
23,Orlando,2024,152308863.0,152308863.0,Orlando Magic
24,Dallas,2024,174411922.0,174411922.0,Dallas Mavericks
25,Portland,2024,167012048.0,167012048.0,Portland Trail Blazers
26,Charlotte,2024,168575524.0,168575524.0,Charlotte Hornets
27,New York,2024,191906878.0,191906878.0,New York Knicks
28,Memphis,2024,165903638.0,165903638.0,Memphis Grizzlies
29,Oklahoma City,2024,166418720.0,166418720.0,Oklahoma City Thunder
