team,wins,losses,season,payroll,inflationAdjPayroll,revenue,superteam,cost_per_win,revenue_per_win
Memphis Grizzlies,23.0,59.0,2001,50920631.0,84765963.0,53000000.0,No,2213940.4782608696,2304347.8260869565
Chicago Bulls,21.0,61.0,2001,42592857.0,70902978.0,117000000.0,No,2028231.2857142857,5571428.571428572
League Average,,,2001,,,,No,,
Team,,,2002,,,,No,,
Dallas Mavericks,60.0,22.0,2002,72940316.0,120139056.0,122000000.0,No,1215671.9333333333,2033333.3333333333
Sacramento Kings,59.0,23.0,2002,70416596.0,115982270.0,93000000.0,No,1193501.627118644,1576271.186440678
San Antonio Spurs,60.0,22.0,2002,53182559.0,87596308.0,113000000.0,No,886375.9833333333,1883333.3333333333
New Jersey Nets,49.0,33.0,2002,,,98000000.0,No,,2000000.0
Detroit Pistons,50.0,32.0,2002,47777888.0,78694343.0,118000000.0,No,955557.76,2360000.0
Indiana Pacers,48.0,34.0,2002,53472323.0,88073576.0,103000000.0,No,1114006.7291666667,2145833.3333333335
Portland Trail Blazers,50.0,32.0,2002,105595657.0,173925253.0,83000000.0,No,2111913.14,1660000.0
Utah Jazz,47.0,35.0,2002,50934629.0,83893772.0,96000000.0,No,1083715.5106382978,2042553.1914893617
Los Angeles Lakers,50.0,32.0,2002,63151182.0,104015499.0,159000000.0,No,1263023.64,3180000.0
Philadelphia 76ers,48.0,34.0,2002,64822487.0,106768285.0,118000000.0,No,1350468.4791666667,2458333.3333333335
Minnesota Timberwolves,51.0,31.0,2002,59518801.0,98032650.0,94000000.0,No,1167035.3137254901,1843137.2549019607
New Orleans Hornets,47.0,35.0,2002,,,92000000.0,No,,1957446.8085106383
Houston Rockets,43.0,39.0,2002,50181239.0,82652870.0,,No,1167005.558139535,
Phoenix Suns,44.0,38.0,2002,55225080.0,90960518.0,115000000.0,No,1255115.4545454546,2613636.3636363638
Orlando Magic,42.0,40.0,2002,50435346.0,83071410.0,88000000.0,No,1200841.5714285714,2095238.0952380951
Milwaukee Bucks,42.0,40.0,2002,57995152.0,95523069.0,85000000.0,No,1380836.9523809524,2023809.5238095238
Seattle SuperSonics,40.0,42.0,2002,,,86000000.0,No,,2150000.0
Boston Celtics,44.0,38.0,2002,52548195.0,86551455.0,113000000.0,No,1194277.1590909092,2568181.8181818184
Washington Wizards,37.0,45.0,2002,46691190.0,76904456.0,106000000.0,No,1261924.054054054,2864864.864864865
Golden State Warriors,38.0,44.0,2002,47737715.0,78628174.0,87000000.0,No,1256255.6578947369,2289473.6842105263
New York Knicks,37.0,45.0,2002,93452379.0,153924217.0,170000000.0,No,2525739.972972973,4594594.594594595
Memphis Grizzlies,28.0,54.0,2002,61009172.0,100487421.0,84000000.0,No,2178899.0,3000000.0
Atlanta Hawks,35.0,47.0,2002,55711549.0,91761773.0,89000000.0,No,1591758.5428571429,2542857.1428571427
Los Angeles Clippers,27.0,55.0,2002,42955777.0,70751903.0,90000000.0,No,1590954.7037037036,3333333.3333333335
Chicago Bulls,30.0,52.0,2002,44531095.0,73346593.0,129000000.0,No,1484369.8333333333,4300000.0
Miami Heat,25.0,57.0,2002,57378326.0,94507103.0,95000000.0,No,2295133.04,3800000.0
Toronto Raptors,24.0,58.0,2002,55408207.0,91262143.0,106000000.0,No,2308675.2916666665,4416666.666666667
Denver Nuggets,17.0,65.0,2002,49109209.0,80887143.0,92000000.0,No,2888777.0,5411764.705882353
Cleveland Cavaliers,17.0,65.0,2002,49610448.0,81712729.0,103000000.0,No,2918261.6470588236,6058823.529411765
League Average,,,2002,,,,No,,
Team,,,2003,,,,No,,
San Antonio Spurs,57.0,25.0,2003,46464064.0,74947262.0,105000000.0,No,815159.0175438597,1842105.2631578948
